t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad]
0.0,1.82901719386776,0.0006913611480707,5.26798922213995,0.010254977713876,0.0084401854433877,0.0019198621667907,0.0,0.0,0.944265048357087,0.854415023623414,0.936097505199596,0.856218441322529
0.1,1.82933568866541,0.0007178833811203,5.27142293685713,0.0102189476274402,0.011371938542865,0.0019043097279373,0.0,0.0,0.7244883711575342,0.942528049327258,0.71581938687968,0.946320719485945
0.2,1.8323072802360296,0.000403461726435,5.273670591772019,0.0097658385889469,0.0142956823166276,0.0019046131975237,0.0,0.0,0.6798774587077621,0.96872240888499,0.671043434501099,0.974728490676527
0.3,1.8323072802360296,-0.0002539661951038,5.273670591772019,0.0089684202130812,0.0142956823166276,0.001885037244793,0.0,0.0,0.6809166281264789,0.969935544296318,0.672064759179031,0.9746108261359392
0.4,1.8323072802360296,-0.0010832437494805,5.273670591772019,0.0079625591309946,0.0142956823166276,0.0018798363098636,0.0,0.0,0.6819493028436421,0.971756007250574,0.6733445571206321,0.9744562615521568
0.5,1.82962197750483,-0.0019478407018494,5.27824966973747,0.0065766153010783,0.0119341594367535,0.0019052542979377,0.0,0.0,0.657584638598023,0.931014105633892,0.650173199365106,0.927577404653712
0.6,1.82962197750483,-0.0027260821787015,5.27824966973747,0.0051196520616417,0.0119341594367535,0.001933359543288,0.0,0.0,0.6573762305043249,0.9344470497807108,0.6517785103680871,0.9280258168872452
0.7,1.82962197750483,-0.0035534529913186,5.27824966973747,0.0035707126961354,0.0119341594367535,0.0019632390349059,0.0,0.0,0.62518248223878,0.894792784964904,0.623769187533518,0.8843089804864441
0.8,1.83225354911876,-0.0045774303012768,5.2778570465725805,0.0023191097667822,0.011371938542865,0.0019492547269345,0.0,0.0,0.6221963538230091,0.8955515758631658,0.625391490743992,0.8837874983762259
0.9,1.82962197750483,-0.005424534137306,5.27824966973747,0.0010346830433714,0.0119341594367535,0.0020436409735105,0.0,0.0,0.61952495032206,0.8943255772298941,0.626883522228313,0.884586606160706
1.0,1.82962197750483,-0.0057143820023272,5.27824966973747,0.0007817852583581,0.0119341594367535,0.002034572779254,0.0,0.0,0.619419203223913,0.8930020835394991,0.627267044511178,0.884496342128162
1.1,1.82962197750483,-0.0060099837841013,5.27824966973747,0.0003730020134864,0.0119341594367535,0.0020123410374403,0.0,0.0,0.5792017523641021,0.892275398048957,0.587780372376052,0.883904873108015
