t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad]
0.0,-5.72561013317714,0.0100405248135696,-0.663649455924719,-0.0013327156741494,0.0046050720995738,-0.0016697624400948,8,0.0,1.12067365619999,2.21639744575394,1.12780241421839,2.22740251628985
0.1,-5.72297266026892,0.0100413737444428,-0.66404254532591,-0.0013272800459417,0.0040432100997065,-0.0018220150883141,8,-0.0097912971036881,1.12073559409688,2.21634998520212,1.127860204873,2.22679666577709
0.2,-5.72352439193778,0.0100112007225102,-0.667232389944173,-0.0011728338120784,-0.0043881778794345,-0.0019704904198312,8,-0.0097912971036881,0.89082740231662,2.12037335228951,0.897099822441494,2.12483011162331
0.3,-5.72087974541498,0.0099527298224602,-0.66763805837105,-0.0010895795173075,-0.0049412564071309,-0.0021138422643859,8,-0.0097912971036881,0.89088560599555,2.1203199386012,0.897062308739221,2.1242263912294
0.4,-5.71823879337415,0.0097796241810018,-0.66883572662262,-0.0009474478823529,-0.0049412564071309,-0.0022509110369352,8,-0.0097912971036881,0.890927007598527,2.12024132745679,0.896912041596376,2.12409948342527
0.5,-5.71823879337415,0.0095778644975156,-0.66883572662262,-0.0007463288080714,-0.0049412564071309,-0.0023805213230309,8,0.0,0.660790470464348,2.32050029058501,0.667982778556991,2.32541189322025
0.6,-5.71823879337415,0.0094929925704596,-0.66883572662262,-0.0005858071565782,-0.0049412564071309,-0.0025016849276879,8,0.0,0.660821668071283,2.32040098270463,0.667852347459276,2.32540976250331
0.7,-5.71821704393026,0.0094040099831141,-0.665311726418164,-0.0005984352728411,-0.0074021978943934,-0.0026136158217633,8,0.0103148958792865,1.15611295828217,1.99799230999827,1.16064696470695,1.9978515263583
0.8,-5.71821704393026,0.0092977495170223,-0.665311726418164,-0.0007986435520799,-0.0074021978943934,-0.0027155878037798,8,0.0103148958792865,1.15614241631687,1.99795256195678,1.16083013351219,1.99767682923975
0.9,-5.71821704393026,0.0091907496074369,-0.665311726418164,-0.0010002450372294,-0.0074021978943934,-0.0028070077378372,8,0.0103148958792865,1.15616797793922,1.99791807179695,1.16100929214717,1.99750237341109
1.0,-5.71556357759645,0.0091781715268447,-0.664935920290389,-0.0010620292773095,-0.0085010283934086,-0.0028874861005255,8,0.020629791758573,1.07589263281986,2.32019523105576,1.08307400658624,2.31733610355221
1.1,-5.71291574760171,0.0090640042081924,-0.665349771077593,-0.0011127149457464,-0.0090484080375408,-0.0029568382712727,8,0.020629791758573,1.07592429757889,2.32017561773245,1.08305735973821,2.31665348689328
1.2,-5.71556357759645,0.0090801459309503,-0.664935920290389,-0.0010591559713321,-0.0085010283934086,-0.003015028514946,8,0.020629791758573,1.07595420879586,2.32016141691337,1.08305011279477,2.31722546740185
1.3,-5.71292262556158,0.0090962264097694,-0.666133589243612,-0.0010040691295647,-0.0085010279034085,-0.0030621183189457,8,0.020629791758573,1.18098619802147,2.36401303280873,1.18830032215631,2.36035560729484
1.4,-5.71292262556158,0.0089997099933997,-0.666133589243612,-0.0007201492859962,-0.0085010279034085,-0.0030984385489868,8,0.0309446876378595,1.18097298736829,2.36398117058594,1.18804636127557,2.3604618336205
1.5,-5.71291574760171,0.0090245291336483,-0.665349771077593,-0.000467121846378,-0.0090484080375408,-0.0031243419726003,8,0.0309446876378595,1.18097140965531,2.36396173537499,1.18789701431805,2.36007628755094
1.6,-5.71027479556721,0.0091640631588993,-0.666547440029084,-0.0002541992735368,-0.0090484075487495,-0.0031404885349403,8,0.0412595835171459,1.25616213320569,2.18086627239476,1.26176698015245,2.17778747433706
1.7,-5.71027479556721,0.0092934168616063,-0.666547440029084,-0.0002489422225399,-0.0090484075487495,-0.0031475201778353,8,0.0515744793964324,1.25617511745407,2.18087511764082,1.26183923515271,2.17787064950186
1.8,-5.71049656682663,0.0094133783407607,-0.669087148274243,-0.0002455555687463,-0.0126045342867631,-0.0031463277751987,8,0.0515744793964324,1.40090353825447,2.38145295228554,1.40803770835391,2.3734105441334
1.9,-5.71049656682663,0.0093938078693658,-0.669087148274243,-0.000406062254851,-0.0126045342867631,-0.0031377431428131,8,0.0515744793964324,1.400896522235,2.38145816183161,1.40812708209771,2.37332080883016
2.0,-5.70763384352638,0.0093739358160393,-0.667745108280652,-0.0006586808096069,-0.0090484075487495,-0.003122843524356,8,0.0515744793964324,1.40087520565536,2.38146068829507,1.40827491952247,2.37674107471675
2.1,-5.70763384352638,0.0093574021507146,-0.667745108280652,-0.0008596051913862,-0.0090484075487495,-0.0031025787170255,8,0.0515744793964324,1.4008573119388,2.3814660716165,1.40838866752498,2.3766343657474
2.2,-5.70498560304299,0.009466084727045,-0.668160896754969,-0.0010558507328691,-0.0095944367083424,-0.0030781068505432,8,0.0412595835171459,1.35116241040758,2.17226907070227,1.35752924918922,2.16808610682993
2.3,-5.70233695517274,0.0095737349918329,-0.6685786164385,-0.0010793120955852,-0.0101391200494814,-0.0030505032879264,8,0.0412595835171459,1.35116181906985,2.17228426945833,1.35759840324972,2.16760230619746
2.4,-5.70228682102054,0.0086630508791036,-0.664272741201785,-0.0012040674267088,-0.0131462211040818,-0.0030207137349114,8,0.0412595835171459,1.36604291062682,2.10248803585709,1.37173322247479,2.09456285192962
