t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method,u_gps_raw_midship [m/s],vm_gps_raw_midship [m/s],U_gps_raw_midship [m/s]
0.0,1.74576131294292,0.0294599208432605,0.12702437914825598,-0.007213800248680609,-0.0315052935616145,0.0015707963892127301,11.058349609375,0.0,2.36938555274052,0.8899088454734391,2.3566059271724997,0.870044176531064,0.0294599208432605,-0.007213800248680609,-0.0102974421290357,-0.0315052935616145,-0.032923687809377,-0.0400509863870087,0.0015707963892127301,1,1,-0.00226326997273648,0.00282425782949441,0.0036192296496562705
0.1,1.76163033941156,0.0293310454544749,0.12057205656765099,-0.0071508909167378905,-0.0320179043481634,0.00154660370576507,13.0975341796875,0.0,1.95446256653901,0.758992419649026,1.9382689149639198,0.7400660154741329,0.0160741064690507,-0.0023701997542894,-0.0111701069630924,-0.0320179043481634,-0.0341571393890618,-0.0452645765149209,-0.000872664639000881,1,1,0.00626247879308592,-0.00424814386099898,0.0075673883802534
0.2,1.76163033941156,0.0290723280230471,0.12057205656765099,-0.0070718443015156795,-0.0320179043481634,0.00149258611799108,13.7249755859375,0.0,1.9544816796821103,0.759001244959532,1.9384182883391499,0.7399526132500871,0.0160720988816528,-0.00309985020328554,-0.0113446397218442,-0.0320179043481634,-0.0366795959734774,-0.0610357617628001,-0.00122173048159752,1,1,0.00626247879308592,-0.0037482815744006,0.007298510491520991
0.3,1.7642949202946898,0.0286264308934624,0.12010625897621302,-0.00693244262730448,-0.0325292536729063,0.0013897594213093,14.195556640625,0.0,1.95451783639206,0.7590183011210949,1.93867703781865,0.7392463666862591,0.0133953612695023,-0.00271274171277338,-0.0115191735208934,-0.0325292536729063,-0.0371040773848386,-0.0610357617628001,-0.00209439505557982,1,1,0.00626528927033813,-0.00249542287151827,0.00674395914494672
0.4,1.7642712919969499,0.0282555070944168,0.11937438806912401,-0.00679101535614088,-0.0320179043481634,0.00126005414297352,14.50927734375,0.0,1.8795655259481499,0.758984846344197,1.8638957596667098,0.740045114235353,0.0187544188122441,-0.00275486244077759,-0.0115191735208934,-0.0320179043481634,-0.0371040773848386,-0.0635064479348977,-0.00209439505557982,1,1,0.00626247879308592,-0.00249862590445794,0.006742534541571079
0.5,1.7670565212248,0.027726140376912,0.122479174329891,-0.00670246659551223,-0.0350241018032211,0.00110877731499944,14.6661376953125,0.0,1.9696645448132601,0.715357041263341,1.95326190313075,0.6922392661562261,0.0160876297610915,-0.00662673545073406,-0.0116937062796453,-0.0350241018032211,-0.0375276805611666,-0.0503457147517976,-0.00209439505557982,1,1,0.00627897794174261,-0.00247977484260169,0.0067509145501102605
0.6,1.76691224458235,0.0273782626319959,0.11817671957059699,-0.00663338643990504,-0.0320179043481634,0.0010326484926131301,14.6661376953125,0.0,1.96969115017768,0.7153707344149121,1.95350200671644,0.6951148784121589,0.0214323605124845,-0.00386737412314833,-0.0118682390383971,-0.0320179043481634,-0.0375276805611666,-0.0659453342682099,-0.000349065842596636,1,1,0.00626247879308592,-0.00499793733744986,0.0080123665831592
0.7,1.7695531971677398,0.0268729770305774,0.11697905107207,-0.0064488337926779295,-0.0320179043481634,0.000890373547241876,14.822998046875,0.0,1.9697401911856598,0.7153971247226449,1.9538060886885902,0.6948989920501301,0.0187520481689663,-0.00348271143505289,-0.012042771797148997,-0.0320179043481634,-0.0379504080736448,-0.0683530023119874,-0.00139626337038654,1,1,0.00626247879308592,-0.00349835047765471,0.00717336020971747
0.8,1.76952988619077,0.0266924340083093,0.116245362004733,-0.00632114000553922,-0.0315052931027398,0.0006652248769710929,14.9798583984375,0.0,1.92479984010665,0.7328888992645579,1.90931333809769,0.713204972627646,0.0241079320441715,-0.00425818539543705,-0.0122173045559008,-0.0315052931027398,-0.0375276805611666,-0.0683530023119874,-0.00261799398202122,1,1,0.00625965973650031,-0.00175204173637764,0.00650023001614345
0.9,1.7695068951227297,0.0265108013968691,0.11550984857436801,-0.0061414972836547,-0.0309914155299638,0.00043850944602793996,14.9798583984375,0.0,1.9148748694669802,0.715483545570933,1.89900879571704,0.6961005614884039,0.0241059297494301,-0.00353470070643725,-0.0123918373146527,-0.0309914155299638,-0.0371040773848386,-0.0683530023119874,-0.00261799398202122,1,1,0.0277639409599561,0.00287230117479722,0.02791212159021
1.0,1.77497937898099,0.0263591526610612,0.11888616883431001,-0.00597800406408814,-0.0350241018032211,0.000227372594696453,15.2935791015625,0.0,1.9149452480897098,0.7155248923654541,1.89908553940166,0.6919910380721429,0.0241302644936664,-0.00526286390993314,-0.0125663711137019,-0.0350241018032211,-0.0404715500316792,-0.0683530038392715,-0.00244346096319503,1,1,0.0277672505141027,0.0027343399803790303,0.0279015558032386
1.1,1.7776203315663799,0.0258789934187459,0.117688500335784,-0.0057683781442184395,-0.0350241018032211,0.00011599209586381498,15.2935791015625,0.0,1.70998736260449,0.6631957235741059,1.6932553103722399,0.6402756347986321,0.0201120964668202,-0.0032506903194209997,-0.0127409038724537,-0.0350241018032211,-0.0379504080736448,-0.0528380976228517,-0.00122173048159752,1,1,0.0277672505141027,0.000984821930731384,0.0277847093803082
