t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0,1.87430342012717,0.00310713684781815,1.58698515084733,0.00704598276448911,0.0295937298815854,0.000193682878004802,0,0,1.58505394658107,4.57277459616695,1.59246514300329,4.60105189137424,0.00310713684781815,0.00704598276448911,-0.285535876278917,0.0481559906133098,0.0295937298815854,-0.0624996355504781,-0.00314159277842547,1,2
0.1,1.87428284860409,0.00310369054399151,1.58768587817362,0.00703362123874381,0.0291041843289779,0.000229171821926775,0,0,2.04010491366781,4.79965786288649,2.0468448235842,4.82695192636242,0.00310403033217988,0.00564544459796506,-0.00349065855600352,0.0446437785761338,0.0291041843289779,-0.0474898139293185,-0.000349065842596636,1,2
0.2,1.87428284860409,0.00315452397881522,1.58768587817362,0.00699535375884627,0.0291041843289779,0.000263158498091359,0,0,2.04011038833078,4.79966062213516,2.0468193779471,4.82692838002324,0.00570884085304186,0.00507246049036304,-0.00349065855600352,0.0446437785761338,0.0291041843289779,-0.0474898139293185,0.000698131685193272,1,2
0.3,1.87428284860409,0.00322775255950851,1.58768587817362,0.00696028687085764,0.0291041843289779,0.000294984386193773,0,0,2.06011951287737,4.81711216812938,2.06673145398563,4.84430432687933,0.0057090117605924,0.00577208907088101,-0.00349065855600352,0.0446437785761338,0.0291041843289779,-0.0474898139293185,0.000698131685193272,1,2
0.4,1.87428284860409,0.00332012286554245,1.58768587817362,0.00691605360640677,0.0291041843289779,0.000324123324045633,0,0,2.06012047906788,4.81711587643286,2.06669252976642,4.84426151679621,0.0057090117605924,0.00577208907088101,-0.00349065855600352,0.0446437785761338,0.0291041843289779,-0.0474898139293185,0.000349065842596636,1,2
0.5,1.87416705227229,0.00340811758182659,1.591874066512,0.0066539642099076,0.0261783531044706,0.000350160727748272,0,0,2.04002867766811,4.86951367309538,2.04619466528246,4.89349446411632,0.00570010458100253,0.000899357524279608,-0.00349065855600352,0.0446437785761338,0.0261783531044706,-0.0648406998239122,-0.000174532921298318,1,2
0.6,1.87418546510699,0.00336941749877282,1.59117734581257,0.00620225435377529,0.0266650597872322,0.000372649891272427,0,0,2.13991700377681,4.9131836809935,2.14558929911424,4.93763105869682,0.00260825212772272,-0.00196601820846914,-0.00331612553717733,0.0446437785761338,0.0266650597872322,-0.0624996355504781,0.000523598763894954,1,2
0.7,1.87418546510699,0.00350597440493315,1.59117734581257,0.00593229660625707,0.0266650597872322,0.000391338368044703,0,0,2.13987461216533,4.91321283641992,2.14530719344649,4.93759298950159,0.00570071123767997,0.00159354708107393,-0.00331612553717733,0.0446437785761338,0.0266650597872322,-0.0624996355504781,0.000174532921298318,1,2
0.8,1.87418546510699,0.00361572540365179,1.59117734581257,0.00538888983793667,0.0266650597872322,0.000405902739530301,0,0,2.1396852572784,4.91332208830907,2.14476051497141,4.93759271750726,0.00521616367562961,-0.00253531130305995,-0.00331612553717733,0.045251134953358,0.0266650597872322,-0.0648406998239122,-0,1,2
0.9,1.87418546510699,0.00372666420309874,1.59117734581257,0.00455210459474161,0.0266650597872322,0.000416250105735666,0,0,2.18923343655816,4.86122873646774,2.19414435594424,4.8854258281251,0.0052223048809416,-0.00672916088298389,-0.00314159277842547,0.045251134953358,0.0266650597872322,-0.0648406998239122,-0,1,2
