t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method,u_gps_raw_midship [m/s],vm_gps_raw_midship [m/s],U_gps_raw_midship [m/s]
0,-5.02100911471468,0.018760771599372,-0.712160135716421,-0.0050948360120506,0.0103789354561374,-0.000546598883935591,10,0,1.11489366640261,3.24619279156843,1.13304173274886,3.2503708632347,0.018760771599372,-0.0050948360120506,-0.000872664639000881,0.0103789354561374,0.0121982957895337,0.0216581256417798,-0.00122173048159752,1,1,0.0173499023026018,0.0156350511149716,0.0233553833896514
0.1,-5.01276028623158,0.0186940760691741,-0.712269309830971,-0.00512464122628865,0.0132757495548776,-0.000594162746973547,10,0,1.48495085292358,3.30694958763778,1.50256872768175,3.31481323427868,0.0135082718394635,-0.00267266115615162,-0.000698131685193272,0.0132757495548776,0.0121982945421049,0.00654844906779739,-0.000698131685193272,1,1,0.00554095460293426,0.0005972096798714,0.00557304560482959
0.2,-5.01274945006306,0.0186411866532812,-0.713068689701887,-0.00501493310996982,0.0138340270157362,-0.000640558258287662,10,0,1.61493258706671,3.30714278743748,1.63252787912759,3.31606079795749,0.0161274659351211,0.00102214333155261,-0.000698131685193272,0.0138340270157362,0.0126659936173803,0.00654844906779739,-0.000698131685193272,1,1,0.00554072902446837,0.000594116352692285,0.00557249067860348
0.3,-5.01010849797512,0.0185691203278145,-0.714266358685877,-0.00486478804318999,0.013834027515468,-0.000685557426651637,10,0,1.61491377675961,3.30713307445557,1.63247731345287,3.31614491374833,0.0161272427816268,0.000222690753096517,-0.000872664639000881,0.013834027515468,0.0121982945421049,0.00368435034635151,-0.00174532927800176,1,1,0.00554072902426568,0.00209370330282516,0.00592311334017855
0.4,-5.01044530403123,0.0185078345499676,-0.716950809865563,-0.00451172473216487,0.0103789354561374,-0.000728682852520203,10,0.0103148958792865,1.61486066566578,3.307134068289,1.63247004439483,3.31289763559513,0.0164910262662418,0.00295922138930257,-0.00104719752778991,0.0103789354561374,0.00976473794589405,0.0065484464910941,-0.00191986216679079,1,1,0.00554209736358897,0.00236278051134151,0.00602474687702936
0.5,-5.01044530403123,0.0185355497788492,-0.716950809865563,-0.00426618840540527,0.0103789354561374,-0.000769704420470428,10,0.0103148958792865,1.63980378058163,3.35080954570232,1.65717547394962,3.35631720073582,0.0191223987800251,0.000932857531654149,-0.00122173048159752,0.0103789354561374,0.00976473794589405,0.0065484464910941,-0.00157079638921273,1,1,0.00554209736358897,0.00186291831784974,0.0058468203193257
0.6,-5.01044530403123,0.0187028469322554,-0.716950809865563,-0.00375844821305782,0.0103789354561374,-0.00080840749272581,10,0.0103148958792865,1.7396968913741,3.36831085567572,1.75730586979161,3.37415894344591,0.0217392379843611,0.00545687760360348,-0.00139626337038654,0.0103789354561374,0.00976473794589405,0.0065484464910941,-0.000523598763894954,1,1,0.00554209736358897,0.000363331318394676,0.00555399431350323
0.7,-5.01044530403123,0.0190557528422604,-0.716950809865563,-0.00303983547080672,0.0103789354561374,-0.000844522862228307,10,0.020629791758573,1.72446915027229,3.42074888638295,1.74234376586036,3.42633666918379,0.0247276417342991,0.00850967819529778,-0.00157079638921273,0.0103789354561374,0.0102305350446972,0.00944854533933426,-0.000523598763894954,1,1,0.00554209736358897,0.000363331318394676,0.00555399431350323
0.8,-5.00746754354578,0.0191956433767464,-0.715464027309572,-0.00263118879550966,0.0138340270157362,-0.000877987082426052,10,0.020629791758573,1.70433090780529,3.36843110536265,1.72289659850986,3.37817452486217,0.0213904063228206,0.00428771297473363,-0.00157079638921273,0.0138340270157362,0.0126659931988058,0.0065484464910941,0.000872664639000881,1,1,0.00554072902446837,-0.00165526398355374,0.00578269634148608
0.9,-5.00482659146774,0.0193725941301981,-0.716661695578015,-0.00213320995176838,0.0138340270157362,-0.000908578980501039,10,0.0103148958792865,1.70427432800079,3.3684245598484,1.72317466337431,3.37842432799519,0.0217581864221334,0.00458037825287761,-0.00139626337038654,0.0138340270157362,0.0121982941243661,0.00368435034635151,-0.000872664639000881,1,1,0.00554072902446837,0.000844047542544781,0.00560464935358691
1,-5.00219647555822,0.0194384296287349,-0.71705998397554,-0.00216839910295391,0.0132757495548776,-0.0009363228545716,10,0.020629791758573,1.6392628887177,3.38584469791065,1.65806707768626,3.39491508837094,0.0202562071214468,-0.00275034901518821,-0.00139626337038654,0.0132757495548776,0.00976473794589405,-0.00877487010770772,-0.000523598763894954,1,1,0.0242923275360706,0.0066559658410962,0.0251876767169498
1.1,-4.99921772422296,0.0192786209063122,-0.714762408302146,-0.0022768568459021,0.0161647053832519,-0.000961196832617647,10,0.020629791758573,1.7344078030468,3.45558281994354,1.75246649216484,3.46700739218967,0.0174354688647189,-0.00290512130516675,-0.00139626337038654,0.0161647053832519,0.0121982955516529,-0.00877487010770772,0.000174532921298318,1,1,0.0243092888109357,0.00558603725766511,0.0249428413525305
1.2,-4.99663766725043,0.0192424976509651,-0.711823543494721,-0.00209168628583947,0.0132757509703898,-0.000983211590625608,10,0.020629791758573,1.6794436625876,3.44679439795047,1.69756802880239,3.4553903093142,0.0187518263790798,-0.000601200754572509,-0.00139626337038654,0.0132757509703898,0.00976473746904971,-0.0087748806772272,-0.00104719752778991,1,1,0.0242923275444309,0.00740575923660769,0.0253961108714802
