t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0,-0.61881320570627,0.00501786452281417,6.62343790092086,-0.00499820852725126,-0.000402972667902235,-0.00117780864857524,10,0,0.47051494255246,2.05012039563173,0.4772688541779,2.05421660905611,0.00501786452281417,-0.00499820852725126,-0.012042771797149,-0.000402972667902235,-0.00922968852696493,-0.0559967683628024,-0.00418879011115963,1,1
0.1,-0.619090111256831,0.00504935451988687,6.61580612041144,-0.00491651294067967,-0.000402971798992846,-0.00123918963295733,10,0.0103148958792865,0.479992704573163,2.19035131654382,0.486980346047193,2.19254653048238,0.00819835466145536,0.00325304615248587,-0.0132645021487093,-0.000402971798992846,-0.0121838745297602,-0.0745867278275896,-0.00401425735240777,1,1
0.2,-0.616167703000706,0.00503420913520438,6.61800770540656,-0.00486569840480994,0.00255270517823258,-0.00129349769766761,10,0.0309446876378595,0.459664715429835,2.05993771761269,0.466389434922299,2.0671577572364,0.00500447563453319,-0.0015634858345053,-0.0139626342240141,0.00255270517823258,-0.0096832064891077,-0.0745867278275896,-0.00122173048159752,1,1
0.3,-0.613528550794917,0.00502885473574911,6.61760122136283,-0.00484311645080636,0.00200020040122761,-0.0013399645405921,10,0.0412595835171459,0.459690881836468,2.05992952117777,0.466391623634672,2.06660894572066,0.00475636319509678,-0.00417222534591804,-0.014137166982766,0.00200020040122761,-0.0096832064891077,-0.0721419167604813,-0.00261799398202122,1,1
0.4,-0.613528550794917,0.0050187106415768,6.61760122136283,-0.00481814106063072,0.00200020040122761,-0.00137787913418593,10,0.0515744793964324,0.465348973051738,1.84168791874435,0.471398291086195,1.85127464039418,0.00475636319509678,-0.00417222534591804,-0.0144862325002697,0.00200020040122761,-0.00718805214895046,-0.0559967699331037,-0.00209439505557982,1,1
0.5,-0.613530765588396,0.0050212803191864,6.62182967950697,-0.00496489876359229,-0.000952634976134847,-0.00140650015461716,10,0.0618893752757189,0.460491120336592,1.95484666189819,0.467051388569464,1.9599409348127,0.00477490530487189,-0.00838661653508195,-0.0144862325002697,-0.000952634976134847,-0.00718805214895046,-0.0400511700726371,-0.00209439505557982,1,1
0.6,-0.613530765588396,0.00500841457323324,6.62182967950697,-0.00514358145872622,-0.000952634976134847,-0.00142520288061773,10,0.0722042711550054,0.430608187937542,1.6663008314815,0.43629726865373,1.67577568499962,0.00477490530487189,-0.00838661653508195,-0.0146607652590216,-0.000952634976134847,-0.0096832064891077,-0.0559967683628024,-0.00296705975959928,1,1
0.7,-0.610889812285365,0.00500928960291074,6.62063200997982,-0.00513525692110058,-0.000952634485295478,-0.00143344195240773,10,0.0825191670342919,0.515608725757154,1.67525856179788,0.521321823245974,1.68293247443607,0.00502335308353541,-0.00500146526418861,-0.0148352990580707,-0.000952634485295478,-0.0101357954222714,-0.0585328553848889,-0.00261799398202122,1,1
0.8,-0.613797355732244,0.00539833054593562,6.61843767073723,-0.00509954806446497,-0.00391337840549189,-0.00143080922648478,10,0.0928340629135784,0.515576612603829,1.67519893267291,0.521329056075917,1.6807211127088,0.0108501063218518,-0.00479542896393492,-0.0148352990580707,-0.00391337840549189,-0.0126343955942236,-0.0585328553848889,-0.00122173048159752,1,1
0.9,-0.613797355732244,0.00597699510426176,6.61843767073723,-0.0049791651048794,-0.00391337840549189,-0.00141691732597802,10,0.0928340629135784,0.535463362205914,1.60507721577332,0.540830482394435,1.6122104363824,0.0137783617728494,-0.00335620134312183,-0.0150098318168226,-0.00391337840549189,-0.0121838745297602,-0.0559967706451776,-0.00244346096319503,1,1
1,-0.613797355732244,0.00633423208076868,6.61843767073723,-0.00468366399973208,-0.00391337840549189,-0.00139159680397241,10,0.103148958792865,0.630232185841019,1.69267447607594,0.635914874836907,1.69814377882657,0.0108531992764877,-0.000945641655246185,-0.0151843645755745,-0.00391337840549189,-0.0117324266398546,-0.0534270576393265,0.000523598763894954,1,1
1.1,-0.610890446375201,0.00677569163136873,6.61905586259417,-0.00414571489938903,0.000148027241490878,-0.00135468809390769,10,0.103148958792865,0.645080813980191,1.68339685902385,0.650372916638045,1.69392388580882,0.0123068818754528,0.0026237734273458,-0.0153588973343263,0.000148027241490878,-0.00922968852696493,-0.0585328553848889,-0.000174532921298318,1,1
1.2,-0.611159252557454,0.00700872012785971,6.61645699960312,-0.00368364889827207,-0.00336658545316593,-0.00130611645253723,10,0.113463854672151,0.655103841753808,1.65714861542843,0.659808678722052,1.66480601631937,0.00952421130088776,0.00136145852736864,-0.0153588973343263,-0.00336658545316593,-0.0121838745297602,-0.0585328553848889,0,1,1
1.3,-0.608763851833203,0.00710768110433226,6.61343851803626,-0.00315587428001075,-0.00742458393509549,-0.00124591379570044,10,0.113463854672151,0.655073134623897,1.65692833006455,0.659279342036825,1.6609536435977,0.00804263156081903,0.00239688979053383,-0.0155334300930782,-0.00742458393509549,-0.015138482260759,-0.0559967706451776,-0.000872664639000881,1,1
1.4,-0.608763851833203,0.00718684263462665,6.61343851803626,-0.00268572605115194,-0.00742458393509549,-0.00117427048327194,10,0.113463854672151,0.655061174786168,1.65675873339665,0.658798441204718,1.66112648507515,0.00804263156081903,0.00239688979053383,-0.0155334300930782,-0.00742458393509549,-0.0146900449071732,-0.0534270576393265,-0.00209439505557982,1,1
1.5,-0.608763851833203,0.00737586066201122,6.61343851803626,-0.00226284141503409,-0.00742458393509549,-0.00109137152868709,10,0.123778750551438,0.705086679353049,1.61268122618658,0.708028441772495,1.6168294441556,0.00937247601362756,0.00220412910687129,-0.0155334300930782,-0.00742458393509549,-0.0146900449071732,-0.0534270576393265,-0.00209439505557982,1,1
1.6,-0.608763851833203,0.00766812752157507,6.61343851803626,-0.00192161090222273,-0.00742458393509549,-0.000997632090001013,10,0.134093646430724,0.70019165464499,1.56912161581922,0.702387931578879,1.57396195943147,0.0106973635096793,0.00161511492153285,-0.01570796285183,-0.00742458393509549,-0.0172017027398044,-0.0696642903786791,-0.000349065842596636,1,1
1.7,-0.605871226048774,0.0078155939827058,6.61562576156642,-0.0015765875329742,-0.00445884219930304,-0.000893402193606849,10,0.134093646430724,0.745134107611553,1.65657343583185,0.747696645137487,1.66359522219817,0.00937897284540401,0.00217632328093306,-0.01570796285183,-0.00445884219930304,-0.0146900446616469,-0.0696642903786791,-0.00139626337038654,1,1
1.8,-0.602966098772682,0.00808049452200028,6.61359981802972,-0.00122112887241555,0.00144903200196,-0.000779120140229958,10,0.134093646430724,0.700164868555003,1.63034733640083,0.702124840351293,1.64454143654004,0.0108448257636002,0.00282539187046865,-0.0158824966508792,0.00144903200196,-0.0096832064891077,-0.0696642887798815,0.000174532921298318,1,1
1.9,-0.600032233516168,0.00844083494674998,6.6150275752876,-0.000826047763235597,0.00494510751710986,-0.000655337645248631,10,0.134093646430724,0.700157326649533,1.63034826390439,0.701699313590165,1.64860658686935,0.0120770168974359,0.00339510636972217,-0.0158824966508792,0.00494510751710986,-0.00764269263462869,-0.0745867299989345,0.000174532921298318,1,1
2,-0.597114374653109,0.00891030539000301,6.62146168695786,-0.0001434783809645,0.00494510665369563,-0.000522757663600967,10,0.134093646430724,0.720217239782807,1.58660412546732,0.720604408291282,1.60538390652092,0.0135518374470263,0.00660490734910857,-0.0158824966508792,0.00494510665369563,-0.00515510194335467,-0.0585328553848889,0,1,1
2.1,-0.594477124555477,0.00920461782731913,6.62105731071618,0.000457530077563393,0.00439112534262498,-0.000381997011374107,10,0.144408542310011,0.760317301048383,1.50822872841972,0.759231434762336,1.52611828149732,0.0120933784320795,0.00630970313257349,-0.0158824966508792,0.00439112534262498,-0.00561084853428562,-0.0585328553848889,-0.000174532921298318,1,1
2.2,-0.597110221429633,0.00948672218972831,6.62066647900938,0.00107567130787348,0.00550042704781784,-0.000233744348519233,10,0.144408542310011,0.760320120364886,1.50820472897912,0.758529232361508,1.52756187673999,0.0122356872583285,0.00720955985751814,-0.0158824966508792,0.00550042704781784,-0.00764269360946757,-0.0769993426139737,0.00122173048159752,1,1
2.3,-0.597408139524986,0.0100015784986985,6.62227544352834,0.00187793061936147,-0.000952634195937607,-7.87611656320613e-05,10,0.134093646430724,0.850341972056749,1.49985229396045,0.847540286914514,1.51181949102083,0.0150733969819587,0.00907826705549019,-0.0158824966508792,-0.000952634195937607,-0.0101357954222714,-0.0585328569464381,0.000872664639000881,1,1
2.4,-0.597408139524986,0.0104754136552054,6.62227544352834,0.00235353409184218,-0.000952634195937607,8.21879146147638e-05,10,0.134093646430724,0.845277434933818,1.50868965273664,0.842053750679496,1.52120866643773,0.0150616619233245,0.00695689788201787,-0.0158824966508792,-0.000952634195937607,-0.0096832064891077,-0.0559967722154788,0.000174532921298318,1,1
2.5,-0.594753601028904,0.0110209259290623,6.62609864402883,0.00296758837363237,-0.00445884248915118,0.000248227155382696,10,0.144408542310011,0.845225010755056,1.50878761581715,0.841335635870452,1.51833849369907,0.0163646077259411,0.0085381209328909,-0.0158824966508792,-0.00445884248915118,-0.0101357954222714,-0.0400511739841847,-0.000174532921298318,1,1
2.6,-0.592112645360314,0.0113992545735999,6.624900974831,0.00351126687122509,-0.00445884297624066,0.000418618360803399,10,0.144408542310011,0.800063981523458,1.58720364665161,0.796564440619761,1.59830401916174,0.0150402198915184,0.00874352870311421,-0.0158824966508792,-0.00445884297624066,-0.0105874583967627,-0.0426748310796701,-0.000174532921298318,1,1
2.7,-0.592112645360314,0.0117429221808588,6.624900974831,0.00380498195243743,-0.00445884297624066,0.000592438070473411,10,0.144408542310011,0.914949682727015,1.61351205753913,0.911499941330313,1.6230481300562,0.0150433520437309,0.00662569011559882,-0.0158824966508792,-0.00445884297624066,-0.0105874583967627,-0.0426748310796701,0.00104719752778991,1,1
2.8,-0.592115915139464,0.0120442557682293,6.62411987753388,0.00410390594048609,-0.00391337918389767,0.000768930304596117,10,0.144408542310011,0.884821004443302,1.6485660046689,0.881559399675329,1.65953766599347,0.0149132572340046,0.00703110080572939,-0.01570796285183,-0.00391337918389767,-0.0101357958265027,-0.0426748310796701,0.000872664639000881,1,1
2.9,-0.589677195464415,0.0121468957215761,6.62534724425988,0.00436097624152468,-0.0109365017567182,0.000947184611520057,10,0.134093646430724,0.834696260655169,1.71832544923714,0.832129481034676,1.72347970395738,0.0134082838524068,0.00601319987377694,-0.01570796285183,-0.0109365017567182,-0.0126343969757514,-0.0215668998694503,0.000174532921298318,1,1
3,-0.58675933591155,0.0122571621182094,6.63178135393564,0.00415600793883284,-0.0109365020478134,0.00112648918598171,10,0.144408542310011,0.83458556929558,1.71840644790629,0.832261622436114,1.7235948582477,0.0133115710119249,0.00219602367230205,-0.0155334300930782,-0.0109365020478134,-0.0101357958265027,-0.00595202878804568,0.00209439505557982,1,1
3.1,-0.58675933591155,0.0123672079555511,6.63178135393564,0.0042571184258477,-0.0109365020478134,0.00130598524447136,10,0.134093646430724,0.914566976501546,1.648709395003,0.91122373145809,1.6523381581525,0.0134185110088843,0.00522305922188729,-0.0153588973343263,-0.0109365020478134,-0.0101357958265027,-0.00595202878804568,0.00139626337038654,1,1
3.2,-0.586767559143046,0.0125825463449448,6.63101050352721,0.00423820057716912,-0.0103981680547041,0.00148488302869553,10,0.134093646430724,0.869463393061555,1.67509397883545,0.866538169862455,1.68029253110052,0.0146162873283844,0.00412117208532887,-0.0153588973343263,-0.0103981680547041,-0.0101357958265027,-0.00877521890188437,0.000872664639000881,1,1
3.3,-0.578599775015914,0.0130633184634118,6.63156632504612,0.00416917386082172,-0.00796583638886106,0.00166238270326102,10,0.134093646430724,0.869357548803287,1.67516451199744,0.866576986526729,1.68328930222053,0.0175518220120862,0.00380275521907795,-0.0151843645755745,-0.00796583638886106,-0.00515510235123995,0.00944819216678172,0.000523598763894954,1,1
3.4,-0.578627286899555,0.0135017314524852,6.62732361098278,0.00405704996368858,-0.00500298386461595,0.00183787646683903,10,0.134093646430724,0.894205398052239,1.71908641934124,0.892234699283642,1.7302633953385,0.0175647141654558,0.00335718026533092,-0.0150098318168226,-0.00500298386461595,-0.00515510235123995,-0.00595203030568858,0.000698131685193272,1,1
