t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0,1.82358581333958,0.13449790318625,1.23653438872712,0.0316831289009034,-0.0345838311357272,0.000238008564031827,16.6666666666667,0,2.44498584029429,4.55529420935552,2.50059321467478,4.46954623962688,0.13449790318625,0.0316831289009034,0.00750491590841129,-0.0279866446233632,-0.0345838311357272,-0.0683530404941062,0.0047123891676382,1,2
0.1,1.89702028347785,0.134378819456941,1.25586886118903,0.0291662446864177,-0.0173667409070426,0.000192590011494869,16.6666666666667,-0.0195825942073764,2.64008248990965,4.8694991188752,2.6514208837994,4.80032965323293,0.0699174118656705,0.00950221345620475,0.0176278252786952,-0.0174321533512718,-0.0173667409070426,-0.0170339216190094,-0.000174532921298318,1,2
0.2,1.90786100349777,0.13301717015603,1.25870996599806,0.028757925901646,-0.0173667418842502,0.000137601967915297,16.6666666666667,-0.0293738913110646,2.54506667752626,4.91309202410685,2.55036272527774,4.84234003769006,0.0645959878110727,0.00824040822758797,0.0176278252786952,-0.0209499687020884,-0.0173667418842502,0.000855442097115633,-0.00157079638921273,1,2
0.3,1.91055614781247,0.131073732646376,1.26045789442121,0.0284242097859509,-0.0194240714699199,7.27841991802716e-05,16.6666666666667,-0.0293738913110646,2.5950320675373,4.9217876234805,2.59905254207726,4.85073135962445,0.0672370279411297,0.00784609031831424,0.0174532925199433,-0.0214755039336627,-0.0194240714699199,-0.00877506941865236,0.00104719752778991,1,2
0.4,1.91869082744561,0.128865352634276,1.26091556391002,0.0274735683558942,-0.0169228880948531,-1.8948772853987e-06,16.6666666666667,-0.0489564855184409,2.59499569207908,4.92179207768236,2.59842488031856,4.85413207284806,0.0699239983463739,0.0113688996536916,0.0174532925199433,-0.0190177184196945,-0.0169228880948531,-0.00595187854141455,0.000349065842596636,1,2
0.5,1.9239947852526,0.126183922184773,1.25978993335182,0.0269627830556196,-0.017809688456355,-8.63257624644519e-05,16.6666666666667,-0.0489564855184409,2.48495455620619,4.87822017507338,2.49405313554287,4.80869571999994,0.0699236143045232,0.0137277730376752,0.0174532925199433,-0.0219997524577604,-0.017809688456355,0.00368415622372509,0.000872664639000881,1,2
0.6,1.93197310859957,0.122774929142401,1.25914080982714,0.0267046658701602,-0.0198658380347869,-0.000180326385013004,16.6666666666667,-0.0587477826221291,2.40490657193876,4.84327993635279,2.41860486408743,4.7716118088577,0.0619138211279637,0.0173119661931611,0.0174532925199433,-0.0249894027674096,-0.0198658380347869,0.00654824992303626,-0.000174532921298318,1,2
0.7,1.94017287352433,0.119209953889108,1.26317958234943,0.0261544829982223,-0.0198658382796151,-0.000283611446941488,16.6666666666667,-0.0685390797258173,2.30482064864671,4.79954982154486,2.32365795632332,4.72756062865179,0.0619138221746379,0.0173119666165034,0.0174532925199433,-0.0225227152091911,-0.0198658382796151,-0.00595188005905567,0.000872664639000881,1,2
0.8,1.94280139948339,0.115894430495504,1.261349426127,0.0259194858751066,-0.0194240717149541,-0.000395754741925267,16.6666666666667,-0.0783303768295055,2.19976205236066,4.81725875102804,2.21655861426885,4.74456170581111,0.0673776632580655,0.0232606447193968,0.0172787597611914,-0.0230444001166392,-0.0194240717149541,-0.000196330812954892,-0.00139626337038654,1,2
0.9,1.95095813014045,0.112576851449655,1.2630768020796,0.0253156367278038,-0.0178096882122569,-0.000516156630936107,16.6666666666667,-0.0783303768295055,2.19970187074033,4.81725957083893,2.21607012137869,4.7476817640639,0.0672882430696157,0.0196975888361246,0.0172787597611914,-0.0230444006998696,-0.0178096882122569,0.00944834780215742,0.000174532921298318,1,2
1,1.95909879758458,0.111802411783643,1.26354804674419,0.0251124943485849,-0.0153180556124577,-0.000644294007990046,16.6666666666667,-0.0881216739331937,2.07964032919873,4.80843339675609,2.09701108935289,4.7388415296501,0.101212432765271,0.0260920431247306,0.0171042270024396,-0.0200683155286836,-0.0153180556124577,0.00944834780215742,-0.00104719752778991,1,2
1.1,1.96709216611785,0.108311692494143,1.26415546518867,0.0247679442906707,-0.0182517270072993,-0.000779429620620725,16.6666666666667,-0.0881216739331937,1.95960518821835,4.85204729581352,1.97217227259861,4.77760307963166,0.0672774166116615,0.0166917649220486,0.0169296942436877,-0.0230444009914843,-0.0182517270072993,0.00654825736879761,-0.00122173048159752,1,2
1.2,1.97259035220756,0.105092268414245,1.26582736613099,0.0238856167778828,-0.0157621624974003,-0.000920806056771809,16.6666666666667,-0.0881216739331937,1.95953559360606,4.8520507685219,1.97149375484696,4.78176037335423,0.0673224519907339,0.0168330006933725,0.0169296942436877,-0.0195436589193145,-0.0157621624974003,0.00368416215113299,-0.00226892794436884,1,2
1.3,1.97793288550602,0.102141945496823,1.2669965699303,0.0235088172854758,-0.0182517277389851,-0.0010676494071511,16.6666666666667,-0.0881216739331937,1.91948634665883,4.98301768449962,1.91769444973105,4.91011093096282,0.0699962437705193,0.0164096041246059,0.0165806276858867,-0.0225227152091911,-0.0182517277389851,0.00368415326001936,-0.00104719752778991,1,2
1.4,1.98879719890242,0.0993954201438613,1.2710995761468,0.0229749808912344,-0.0191331002157658,-0.00121896629809953,16.6666666666667,-0.0881216739331937,1.91941280462975,4.98302512473488,1.91768944019192,4.91069571395205,0.0699280758782836,0.0162307210011615,0.0164060949271348,-0.020591695153189,-0.0191331002157658,-0.0115627238808911,-0.00209439505557982,1,2
1.5,1.99415178492592,0.0969104353845445,1.27227027737031,0.0226775149040307,-0.0216238682879359,-0.00137393896626101,16.6666666666667,-0.0881216739331937,1.92433537831003,4.9742909217561,1.92372229197791,4.90091115282527,0.0712690386551805,0.0169209936650049,0.0162315621683829,-0.0230444015747147,-0.0216238682879359,-0.0143154750070222,-0.00209439505557982,1,2
1.6,1.99421860703318,0.0942566676637823,1.2752194709931,0.0223039154263206,-0.023683889982584,-0.00153160123495945,16.6666666666667,-0.0881216739331937,1.8642415714649,4.93933211159614,1.86728181220388,4.86373299112253,0.0672376906031021,0.0163630290831888,0.0162315621683829,-0.0214755053961257,-0.023683889982584,-0.0349356001808376,-0.00209439505557982,1,2
1.7,2.00241837301676,0.0918412212823926,1.27925824390261,0.0215929320900437,-0.0236838902273206,-0.00169098278283933,16.6666666666667,-0.0881216739331937,1.86416390203923,4.93933987426702,1.86692551505935,4.8650800236521,0.0671918865241844,0.014337433890356,0.0160570294096311,-0.0214755053961257,-0.0236838902273206,-0.0349356016795028,-0.000174532921298318,1,2
1.8,2.0106181405485,0.0899811556891198,1.2832970166596,0.0209673705505017,-0.0236838914510022,-0.00185111154828817,16.6666666666667,-0.0881216739331937,1.89409590973781,4.95683847340664,1.89491688565022,4.88436458803741,0.0712393454799034,0.014664282119902,0.0158824966508792,-0.0195436603751304,-0.0236838914510022,-0.0452646225302475,-0.00122173048159752,1,2
1.9,2.01858649145247,0.0883671911800306,1.28157294782957,0.0205904078645215,-0.0249894016645291,-0.00201099147892375,16.6666666666667,-0.0979129710368819,1.85402527658751,4.97438753543601,1.85324550607441,4.90042762104737,0.0725473241984852,0.0156603578162156,0.0155334300930782,-0.0200683175647989,-0.0249894016645291,-0.0503457572389376,-0.00209439505557982,1,2
2,2.02678625803805,0.0869129048820168,1.28561171869822,0.020194697088003,-0.0249894006880507,-0.00216971289394762,16.6666666666667,-0.0881216739331937,1.85394789450974,4.97439448549896,1.85308884259568,4.90124626296453,0.0725347546216375,0.016282408501586,0.0153588973343263,-0.020068318146546,-0.0249894006880507,-0.0503457481345502,-0.00139626337038654,1,2
