t [s],x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s],n_prop [rps],delta_rudder [rad],wind_velo_relative_mid [m/s],wind_dir_relative_mid [rad],wind_velo_true [m/s],wind_dir_true [rad],u_velo_raw [m/s],vm_velo_raw [m/s],psi [rad],psi_hat_GNSS_f2a [rad],psi_hat_GNSS_f23 [rad],psi_hat_GNSS_a23 [rad],r_angvelo_raw [rad/s],chosen_GPS,chosen_headind_method
0,1.595999208,0.025237588,1.381760173,0.012919656,0.055721332,-0.000386354,12,0,1.170165972,6.06498542,1.14846582,6.104966356,0.025237588,0.012919656,0.063529987,0.064155688,0.055721332,0.012954099,-0.001047198,1,2
0.1,1.609951922,0.025152437,1.387627997,0.012796137,0.058104652,-0.000488283,12,-0.039165188,1.545179587,5.829737796,1.528340485,5.873106005,0.013565329,0.006462798,0.063529987,0.072980344,0.058104652,-0.015406936,-0.001047198,1,2
0.2,1.609951922,0.025040559,1.387627997,0.012768262,0.058104652,-0.000599818,12,-0.06853908,1.545160989,5.82977596,1.52840784,5.873193316,0.019418853,0.01136759,0.063355454,0.073615606,0.058104652,-0.018004283,-0.000698132,1,2
0.3,1.612358155,0.024749225,1.390568737,0.012620366,0.055210056,-0.000720837,12,-0.097912971,1.254952561,6.065336244,1.233636959,6.106217644,0.016133604,0.005154921,0.063355454,0.072980344,0.055210056,-0.032656919,-0.000174533,1,2
0.4,1.612318019,0.024613867,1.391298346,0.012281773,0.054699782,-0.000851109,12,-0.127286862,1.435005897,6.021624706,1.414487634,6.063414725,0.021279854,0.003198486,0.063180917,0.072980344,0.054699782,-0.035151313,0.000349066,1,2
0.5,1.612318019,0.024494245,1.391298346,0.012028783,0.054699782,-0.000990408,12,-0.166452051,1.434991858,6.02167539,1.414510229,6.063655642,0.021961336,0.006671913,0.063180917,0.073615605,0.054699782,-0.037615847,0.000349066,1,2
0.6,1.612318019,0.02436246,1.391298346,0.011927076,0.054699782,-0.001138361,12,-0.186034645,1.46002904,5.978217926,1.440452886,6.019913981,0.021970593,0.010081131,0.063180917,0.07077068,0.054699782,-0.023106893,-0.002268928,1,2
0.7,1.61263506,0.024338118,1.398200515,0.011325346,0.055210056,-0.001294554,12,-0.205617239,1.460067227,5.978313387,1.440257829,6.020881198,0.02384914,0.001854185,0.063006384,0.07425235,0.055210056,-0.037615844,-0.001047198,1,2
0.8,1.617876832,0.023971054,1.396534787,0.010808605,0.054699782,-0.001458549,12,-0.23499113,1.624809699,5.856045631,1.607474541,5.898363388,0.018702684,0.003092176,0.063006384,0.072980343,0.054699782,-0.03515131,-0.001919862,1,2
0.9,1.620478098,0.023602192,1.396065322,0.01028742,0.054190505,-0.001629849,12,-0.254573725,1.62479409,5.856104878,1.607548838,5.898292081,0.018703568,0.003096413,0.062831851,0.072980344,0.054190505,-0.037615847,-0.00122173,1,2
1,1.620478098,0.023576729,1.396065322,0.010197986,0.054190505,-0.001807923,12,-0.264365022,1.759737326,5.716566267,1.745341072,5.758482929,0.02325462,0.009066664,0.062657319,0.072980344,0.054190505,-0.037615847,0,1,2
1.1,1.623119051,0.023129003,1.394867653,0.009996566,0.054190505,-0.001992257,12,-0.293738913,1.759667225,5.716594051,1.745543244,5.758754548,0.017751647,0.007577441,0.062482786,0.073615605,0.054190505,-0.040051026,-0.001919862,1,2
1.2,1.628677866,0.022802122,1.400104094,0.009778657,0.054190504,-0.002182422,12,-0.30353021,1.739568494,5.760082873,1.724716377,5.802679195,0.019038888,0.007269962,0.062308253,0.072980343,0.054190504,-0.037615848,-0.002792527,1,2
1.3,1.628182717,0.02233115,1.396606087,0.009318005,0.051299772,-0.002377764,12,-0.313321507,1.739532422,5.760139199,1.724838375,5.800206657,0.017408874,0.0034625,0.06213372,0.070137759,0.051299772,-0.040051027,-0.002094395,1,2
1.4,1.633391176,0.022151782,1.39565547,0.009022996,0.050289586,-0.002577668,12,-0.332904102,1.914515631,5.673049386,1.901539522,5.712694529,0.020314578,0.005589926,0.061784655,0.069506315,0.050289586,-0.042457343,-0.003141593,1,2
1.5,1.633881738,0.022129407,1.399160962,0.008636019,0.053174932,-0.002781667,12,-0.342695399,2.024191703,5.576898254,2.012983935,5.619593149,0.021619033,0.005223883,0.061784655,0.072980343,0.053174932,-0.042457343,-0.003141593,1,2
1.6,1.633704591,0.022064523,1.402565587,0.008356586,0.050794184,-0.002989181,12,-0.342695399,2.024128455,5.576937848,2.012781692,5.617376417,0.021605765,0.004914569,0.061610122,0.073615605,0.050794184,-0.059297992,-0.002268928,1,2
1.7,1.636345543,0.022108796,1.401367918,0.007683155,0.050794184,-0.003199676,12,-0.352486696,2.009161752,5.620640652,1.996409198,5.661474845,0.022560598,0.000810878,0.061261057,0.072980343,0.050794184,-0.056992986,-0.004886922,1,2
1.8,1.636382485,0.021921248,1.40064486,0.007293487,0.051299771,-0.00341268,12,-0.362277993,2.009097969,5.620679625,1.996246947,5.662232519,0.019992421,0.003479875,0.060911991,0.070770679,0.051299771,-0.042457338,-0.005235988,1,2
1.9,1.638986496,0.02185948,1.400170249,0.00686303,0.050794184,-0.003627732,12,-0.362277993,2.009043386,5.620725178,1.995960362,5.66195612,0.02128036,0.002460237,0.060562926,0.070137757,0.050794184,-0.042457338,-0.002792527,1,2
2,1.641458001,0.021909934,1.402386008,0.006640583,0.04840757,-0.003844373,12,-0.37206929,2.033962017,5.594584096,2.021205178,5.633454134,0.022571318,0.003925709,0.06021386,0.069506313,0.04840757,-0.054660139,-0.004363323,1,2
